Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
22745,   Martinique*,22,474,B R,  Melanesia,928,..,..,..,..,..,..,..
22746,   Martinique*,22,474,B R,  Micronesia,954,..,..,..,..,..,..,..
22747,   Martinique*,22,474,B R,  Polynesia*,957,..,..,..,..,..,..,..
22748,   Martinique*,22,474,B R,   Algeria,12,45,68,91,95,99,114,113
22749,   Martinique*,22,474,B R,   Belgium,56,58,87,116,121,127,147,145
22750,   Martinique*,22,474,B R,   Brazil,76,16,41,67,70,74,85,84
22751,   Martinique*,22,474,B R,   China*,156,68,103,139,145,151,175,173
22752,   Martinique*,22,474,B R,   Dominica,212,184,279,374,391,408,473,469
22753,   Martinique*,22,474,B R,   Dominican Republic,214,16,69,122,128,134,155,153
22754,   Martinique*,22,474,B R,   France*,250, 29 695, 35 638, 41 569, 43 513, 45 448, 52 770, 52 350
22755,   Martinique*,22,474,B R,   French Guiana*,254, 1 101, 1 348, 1 596, 1 670, 1 744, 2 025, 2 008
22756,   Martinique*,22,474,B R,   Guadeloupe*,312, 3 327, 4 074, 4 821, 5 045, 5 270, 6 119, 6 070
22757,   Martinique*,22,474,B R,   Haiti,332, 1 109, 1 335, 1 562, 1 634, 1 707, 1 982, 1 966
22758,   Martinique*,22,474,B R,   Italy,380,37,55,74,77,81,94,93
22759,   Martinique*,22,474,B R,   R?union*,638,253,309,366,383,400,464,460
22760,   Martinique*,22,474,B R,   Saint Lucia,662,989, 1 390, 1 792, 1 876, 1 960, 2 275, 2 256
22761,   Martinique*,22,474,B R,   Syrian Arab Republic,760,68,102,137,143,150,174,172
22762,   Martinique*,22,474,B R,   United Kingdom*,826,67,101,135,141,148,171,169
22763,   Martinique*,22,474,B R,Other,2003, 1 672, 1 600, 1 531, 1 602, 1 674, 1 951, 1 943
22764,   Montserrat*,23,500,B,WORLD,900, 2 013, 1 612, 1 211, 1 244, 1 291, 1 351, 1 379
22765,   Montserrat*,23,500,B,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
22766,   Montserrat*,23,500,B,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
22767,   Montserrat*,23,500,B,  Central and Southern Asia,921,..,..,..,..,..,..,..
22768,   Montserrat*,23,500,B,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
22769,   Montserrat*,23,500,B,  Latin America and the Caribbean,1830, 1 267, 1 014,766,788,811,852,878
22770,   Montserrat*,23,500,B,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
22771,   Montserrat*,23,500,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
22772,   Montserrat*,23,500,B,  Europe and Northern America,1829,385,311,231,240,250,260,260
22773,   Montserrat*,23,500,B,  Developed regions,901,385,311,231,240,250,260,260
22774,   Montserrat*,23,500,B,  Less developed regions,902, 1 267, 1 014,766,788,811,852,878
22775,   Montserrat*,23,500,B," Less developed regions, excluding least developed countries",934, 1 267, 1 014,766,788,811,852,878
22776,   Montserrat*,23,500,B," Less developed regions, excluding China",948, 1 267, 1 014,766,788,811,852,878
22777,   Montserrat*,23,500,B,  Least developed countries,941,..,..,..,..,..,..,..
22778,   Montserrat*,23,500,B,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
22779,   Montserrat*,23,500,B,  Small island developing States (SIDS),1637, 1 267, 1 014,766,788,811,852,878
22780,   Montserrat*,23,500,B,  High-income countries,1503,799,642,481,497,515,536,537
22781,   Montserrat*,23,500,B,  Middle-income countries,1517,853,683,516,531,546,576,601
22782,   Montserrat*,23,500,B, Upper-middle-income countries,1502,853,683,516,531,546,576,601
22783,   Montserrat*,23,500,B, Lower-middle-income countries,1501,..,..,..,..,..,..,..
22784,   Montserrat*,23,500,B,  Low-income countries,1500,..,..,..,..,..,..,..
22785,   Montserrat*,23,500,B, AFRICA,903,..,..,..,..,..,..,..
22786,   Montserrat*,23,500,B,  Eastern Africa,910,..,..,..,..,..,..,..
22787,   Montserrat*,23,500,B,  Middle Africa,911,..,..,..,..,..,..,..
22788,   Montserrat*,23,500,B,  Northern Africa,912,..,..,..,..,..,..,..
22789,   Montserrat*,23,500,B,  Southern Africa,913,..,..,..,..,..,..,..
22790,   Montserrat*,23,500,B,  Western Africa,914,..,..,..,..,..,..,..
22791,   Montserrat*,23,500,B, ASIA,935,..,..,..,..,..,..,..
22792,   Montserrat*,23,500,B,  Central Asia,5500,..,..,..,..,..,..,..
22793,   Montserrat*,23,500,B,  Eastern Asia,906,..,..,..,..,..,..,..
22794,   Montserrat*,23,500,B,  South-Eastern Asia,920,..,..,..,..,..,..,..
22795,   Montserrat*,23,500,B,  Southern Asia,5501,..,..,..,..,..,..,..
22796,   Montserrat*,23,500,B,  Western Asia,922,..,..,..,..,..,..,..
22797,   Montserrat*,23,500,B, EUROPE,908,156,129,94,97,100,104,104
22798,   Montserrat*,23,500,B,  Eastern Europe,923,..,..,..,..,..,..,..
22799,   Montserrat*,23,500,B,  Northern Europe,924,156,129,94,97,100,104,104
22800,   Montserrat*,23,500,B,  Southern Europe,925,..,..,..,..,..,..,..
22801,   Montserrat*,23,500,B,  Western Europe,926,..,..,..,..,..,..,..
22802,   Montserrat*,23,500,B, LATIN AMERICA AND THE CARIBBEAN,904, 1 267, 1 014,766,788,811,852,878
22803,   Montserrat*,23,500,B,  Caribbean,915,908,726,548,564,581,612,634
22804,   Montserrat*,23,500,B,  Central America,916,..,..,..,..,..,..,..
22805,   Montserrat*,23,500,B,  South America,931,359,288,218,224,230,240,244
22806,   Montserrat*,23,500,B, NORTHERN AMERICA,905,229,182,137,143,150,156,156
22807,   Montserrat*,23,500,B, OCEANIA ,909,..,..,..,..,..,..,..
22808,   Montserrat*,23,500,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
22809,   Montserrat*,23,500,B,  Melanesia,928,..,..,..,..,..,..,..
22810,   Montserrat*,23,500,B,  Micronesia,954,..,..,..,..,..,..,..
22811,   Montserrat*,23,500,B,  Polynesia*,957,..,..,..,..,..,..,..
22812,   Montserrat*,23,500,B,   Antigua and Barbuda,28,172,138,104,107,110,115,116
22813,   Montserrat*,23,500,B,   Canada,124,56,44,33,34,35,36,35
22814,   Montserrat*,23,500,B,   Dominica,212,412,331,250,257,265,283,306
22815,   Montserrat*,23,500,B,   Dominican Republic,214,37,29,22,22,23,24,23
22816,   Montserrat*,23,500,B,   Guyana,328,359,288,218,224,230,240,244
22817,   Montserrat*,23,500,B,   Saint Kitts and Nevis,659,176,141,107,110,113,118,119
22818,   Montserrat*,23,500,B,   Saint Vincent and the Grenadines,670,45,35,26,28,28,29,28
22819,   Montserrat*,23,500,B,   Trinidad and Tobago,780,66,52,39,40,42,43,42
22820,   Montserrat*,23,500,B,   United Kingdom*,826,156,129,94,97,100,104,104
22821,   Montserrat*,23,500,B,   United States of America*,840,173,138,104,109,115,120,121
22822,   Montserrat*,23,500,B,Other,2003,361,287,214,216,230,239,241
22823,   Puerto Rico*,24,630,B,WORLD,900, 321 909, 338 067, 355 038, 352 144, 304 969, 280 494, 247 132
22824,   Puerto Rico*,24,630,B,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
22825,   Puerto Rico*,24,630,B,  Northern Africa and Western Asia,1833,408,428,456,355,214,209,86
22826,   Puerto Rico*,24,630,B,  Central and Southern Asia,921,96,101,108,84,51,49,21
22827,   Puerto Rico*,24,630,B,  Eastern and South-Eastern Asia,1832, 1 007, 1 531, 2 065, 2 043, 1 769, 1 507, 1 345
22828,   Puerto Rico*,24,630,B,  Latin America and the Caribbean,1830, 75 663, 88 676, 101 927, 105 859, 96 503, 89 131, 73 810
22829,   Puerto Rico*,24,630,B,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
22830,   Puerto Rico*,24,630,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
22831,   Puerto Rico*,24,630,B,  Europe and Northern America,1829, 235 741, 237 761, 240 365, 229 291, 189 394, 168 174, 162 636
22832,   Puerto Rico*,24,630,B,  Developed regions,901, 235 904, 237 933, 240 547, 229 433, 189 479, 168 257, 162 671
22833,   Puerto Rico*,24,630,B,  Less developed regions,902, 77 011, 90 564, 104 374, 108 199, 98 452, 90 813, 75 227
22834,   Puerto Rico*,24,630,B," Less developed regions, excluding least developed countries",934, 76 716, 90 254, 104 047, 107 900, 98 217, 90 653, 75 098
22835,   Puerto Rico*,24,630,B," Less developed regions, excluding China",948, 76 672, 89 738, 103 059, 106 777, 97 101, 89 725, 74 015
22836,   Puerto Rico*,24,630,B,  Least developed countries,941,295,310,327,299,235,160,129
22837,   Puerto Rico*,24,630,B,  Land-locked Developing Countries (LLDC),1636,109,115,122,96,58,56,24
22838,   Puerto Rico*,24,630,B,  Small island developing States (SIDS),1637, 61 104, 72 991, 85 062, 87 545, 79 028, 73 262, 60 554
22839,   Puerto Rico*,24,630,B,  High-income countries,1503, 240 133, 241 938, 244 343, 232 757, 191 920, 170 733, 164 066
22840,   Puerto Rico*,24,630,B,  Middle-income countries,1517, 72 487, 86 249, 100 251, 104 576, 95 776, 88 177, 73 703
22841,   Puerto Rico*,24,630,B, Upper-middle-income countries,1502, 70 401, 84 109, 98 039, 102 282, 93 683, 86 345, 72 795
22842,   Puerto Rico*,24,630,B, Lower-middle-income countries,1501, 2 086, 2 140, 2 212, 2 294, 2 093, 1 832,908
22843,   Puerto Rico*,24,630,B,  Low-income countries,1500,295,310,327,299,235,160,129
22844,   Puerto Rico*,24,630,B, AFRICA,903,69,72,77,60,36,35,14
22845,   Puerto Rico*,24,630,B,  Eastern Africa,910,..,..,..,..,..,..,..
22846,   Puerto Rico*,24,630,B,  Middle Africa,911,..,..,..,..,..,..,..
22847,   Puerto Rico*,24,630,B,  Northern Africa,912,69,72,77,60,36,35,14
22848,   Puerto Rico*,24,630,B,  Southern Africa,913,..,..,..,..,..,..,..
22849,   Puerto Rico*,24,630,B,  Western Africa,914,..,..,..,..,..,..,..
22850,   Puerto Rico*,24,630,B, ASIA,935, 1 442, 1 988, 2 552, 2 422, 1 998, 1 730, 1 438
22851,   Puerto Rico*,24,630,B,  Central Asia,5500,..,..,..,..,..,..,..
22852,   Puerto Rico*,24,630,B,  Eastern Asia,906,574, 1 076, 1 582, 1 666, 1 543, 1 285, 1 251
22853,   Puerto Rico*,24,630,B,  South-Eastern Asia,920,433,455,483,377,226,222,94
22854,   Puerto Rico*,24,630,B,  Southern Asia,5501,96,101,108,84,51,49,21
22855,   Puerto Rico*,24,630,B,  Western Asia,922,339,356,379,295,178,174,72
22856,   Puerto Rico*,24,630,B, EUROPE,908, 8 027, 7 091, 6 182, 5 140, 3 459, 2 908, 3 070
22857,   Puerto Rico*,24,630,B,  Eastern Europe,923,36,37,40,31,19,18,7
22858,   Puerto Rico*,24,630,B,  Northern Europe,924,336,356,377,295,176,173,74
22859,   Puerto Rico*,24,630,B,  Southern Europe,925, 5 093, 4 687, 4 298, 3 665, 2 575, 2 043, 2 700
22860,   Puerto Rico*,24,630,B,  Western Europe,926, 2 562, 2 011, 1 467, 1 149,689,674,289
22861,   Puerto Rico*,24,630,B, LATIN AMERICA AND THE CARIBBEAN,904, 75 663, 88 676, 101 927, 105 859, 96 503, 89 131, 73 810
22862,   Puerto Rico*,24,630,B,  Caribbean,915, 61 005, 72 887, 84 952, 87 459, 78 976, 73 212, 60 533
22863,   Puerto Rico*,24,630,B,  Central America,916, 6 168, 6 442, 6 741, 7 093, 6 561, 6 122, 4 437
22864,   Puerto Rico*,24,630,B,  South America,931, 8 490, 9 347, 10 234, 11 307, 10 966, 9 797, 8 840
22865,   Puerto Rico*,24,630,B, NORTHERN AMERICA,905, 227 714, 230 670, 234 183, 224 151, 185 935, 165 266, 159 566
22866,   Puerto Rico*,24,630,B, OCEANIA ,909,..,..,..,..,..,..,..
22867,   Puerto Rico*,24,630,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
22868,   Puerto Rico*,24,630,B,  Melanesia,928,..,..,..,..,..,..,..
22869,   Puerto Rico*,24,630,B,  Micronesia,954,..,..,..,..,..,..,..
22870,   Puerto Rico*,24,630,B,  Polynesia*,957,..,..,..,..,..,..,..
22871,   Puerto Rico*,24,630,B,   Argentina,32, 1 234, 1 245, 1 259, 1 402, 1 369, 1 180,828
22872,   Puerto Rico*,24,630,B,   Bolivia (Plurinational State of),68,109,115,122,96,58,56,24
22873,   Puerto Rico*,24,630,B,   Brazil,76,185,195,207,162,97,95,40
22874,   Puerto Rico*,24,630,B,   Canada,124,231,244,259,202,121,119,51
22875,   Puerto Rico*,24,630,B,   Chile,152,924,879,837, 1 007, 1 052,789,452
22876,   Puerto Rico*,24,630,B,   China*,156,339,826, 1 315, 1 422, 1 351, 1 088, 1 212
22877,   Puerto Rico*,24,630,B,   Colombia,170, 3 399, 3 601, 3 813, 4 482, 4 589, 3 788, 4 039
22878,   Puerto Rico*,24,630,B,   Costa Rica,188,487,531,577,601,551,685,924
22879,   Puerto Rico*,24,630,B,   Cuba,192, 19 579, 19 293, 19 054, 17 039, 12 882, 13 321, 12 637
22880,   Puerto Rico*,24,630,B,   Dominica,212, 2 567, 2 575, 2 591, 2 030, 1 215, 1 190,513
22881,   Puerto Rico*,24,630,B,   Dominican Republic,214, 37 207, 49 325, 61 563, 66 983, 63 981, 57 891, 46 905
22882,   Puerto Rico*,24,630,B,   Ecuador,218,573,675,780,949,999,851,348
22883,   Puerto Rico*,24,630,B,   Egypt,818,69,72,77,60,36,35,14
22884,   Puerto Rico*,24,630,B,   El Salvador,222,519,504,492,970, 1 327,846,130
22885,   Puerto Rico*,24,630,B,   France*,250,278,294,311,243,146,143,61
22886,   Puerto Rico*,24,630,B,   Germany,276, 2 231, 1 662, 1 097,860,515,504,217
22887,   Puerto Rico*,24,630,B,   Guatemala,320,487,515,546,563,511,381,331
22888,   Puerto Rico*,24,630,B,   Guyana,328,99,104,110,86,52,50,21
22889,   Puerto Rico*,24,630,B,   Haiti,332,295,310,327,299,235,160,129
22890,   Puerto Rico*,24,630,B,   Honduras,340,435,446,460,338,174,408,531
22891,   Puerto Rico*,24,630,B,   India,356,96,101,108,84,51,49,21
22892,   Puerto Rico*,24,630,B,   Israel,376,87,91,97,76,46,45,19
22893,   Puerto Rico*,24,630,B,   Italy,380,483,448,416,325,195,192,82
22894,   Puerto Rico*,24,630,B,   Jamaica,388,84,88,94,73,44,43,18
22895,   Puerto Rico*,24,630,B,   Japan,392,163,172,182,142,85,83,35
22896,   Puerto Rico*,24,630,B,   Jordan,400,175,185,196,153,92,90,38
22897,   Puerto Rico*,24,630,B,   Republic of Korea,410,72,78,85,102,107,114,4
22898,   Puerto Rico*,24,630,B,   Lebanon,422,35,36,39,30,18,18,7
22899,   Puerto Rico*,24,630,B,   Mexico,484, 1 907, 2 302, 2 703, 3 118, 3 142, 2 647, 1 831
22900,   Puerto Rico*,24,630,B,   Netherlands*,528,53,55,59,46,28,27,11
22901,   Puerto Rico*,24,630,B,   Nicaragua,558,460,483,509,399,239,234,101
22902,   Puerto Rico*,24,630,B,   Panama,591, 1 873, 1 661, 1 454, 1 104,617,921,589
22903,   Puerto Rico*,24,630,B,   Peru,604,703,916, 1 132,925,603,686, 2 094
22904,   Puerto Rico*,24,630,B,   Philippines,608,274,289,306,239,143,140,60
22905,   Puerto Rico*,24,630,B,   Poland,616,36,37,40,31,19,18,7
22906,   Puerto Rico*,24,630,B,   Portugal,620,68,71,76,59,36,35,14
22907,   Puerto Rico*,24,630,B,   Spain*,724, 4 542, 4 168, 3 806, 3 281, 2 344, 1 816, 2 604
22908,   Puerto Rico*,24,630,B,   Thailand,764,35,36,39,30,18,18,7
22909,   Puerto Rico*,24,630,B,   Trinidad and Tobago,780,337,357,378,295,176,174,75
22910,   Puerto Rico*,24,630,B,   Turkey,792,42,44,47,36,22,21,8
22911,   Puerto Rico*,24,630,B,   United Kingdom*,826,336,356,377,295,176,173,74
22912,   Puerto Rico*,24,630,B,   United States of America*,840, 227 483, 230 426, 233 924, 223 949, 185 814, 165 147, 159 515
22913,   Puerto Rico*,24,630,B,   United States Virgin Islands*,850,936,939,945,740,443,433,256
22914,   Puerto Rico*,24,630,B,   Venezuela (Bolivarian Republic of),862, 1 264, 1 617, 1 974, 2 198, 2 147, 2 302,994
22915,   Puerto Rico*,24,630,B,   Viet Nam,704,124,130,138,108,65,64,27
22916,   Puerto Rico*,24,630,B,Other,2003, 8 994, 9 570, 10 117, 14 512, 17 038, 21 424, 9 234
22917,   Saint Barth?lemy*,,652,,WORLD,900,..,..,..,..,..,..,..
22918,   Saint Barth?lemy*,,652,,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
22919,   Saint Barth?lemy*,,652,,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
22920,   Saint Barth?lemy*,,652,,  Central and Southern Asia,921,..,..,..,..,..,..,..
22921,   Saint Barth?lemy*,,652,,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
22922,   Saint Barth?lemy*,,652,,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
22923,   Saint Barth?lemy*,,652,,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
22924,   Saint Barth?lemy*,,652,,  Australia and New Zealand,927,..,..,..,..,..,..,..
22925,   Saint Barth?lemy*,,652,,  Europe and Northern America,1829,..,..,..,..,..,..,..
22926,   Saint Barth?lemy*,,652,,  Developed regions,901,..,..,..,..,..,..,..
22927,   Saint Barth?lemy*,,652,,  Less developed regions,902,..,..,..,..,..,..,..
22928,   Saint Barth?lemy*,,652,," Less developed regions, excluding least developed countries",934,..,..,..,..,..,..,..
22929,   Saint Barth?lemy*,,652,," Less developed regions, excluding China",948,..,..,..,..,..,..,..
22930,   Saint Barth?lemy*,,652,,  Least developed countries,941,..,..,..,..,..,..,..
22931,   Saint Barth?lemy*,,652,,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
22932,   Saint Barth?lemy*,,652,,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
22933,   Saint Barth?lemy*,,652,,  High-income countries,1503,..,..,..,..,..,..,..
22934,   Saint Barth?lemy*,,652,,  Middle-income countries,1517,..,..,..,..,..,..,..
22935,   Saint Barth?lemy*,,652,, Upper-middle-income countries,1502,..,..,..,..,..,..,..
22936,   Saint Barth?lemy*,,652,, Lower-middle-income countries,1501,..,..,..,..,..,..,..
22937,   Saint Barth?lemy*,,652,,  Low-income countries,1500,..,..,..,..,..,..,..
22938,   Saint Barth?lemy*,,652,, AFRICA,903,..,..,..,..,..,..,..
22939,   Saint Barth?lemy*,,652,,  Eastern Africa,910,..,..,..,..,..,..,..
22940,   Saint Barth?lemy*,,652,,  Middle Africa,911,..,..,..,..,..,..,..
22941,   Saint Barth?lemy*,,652,,  Northern Africa,912,..,..,..,..,..,..,..
22942,   Saint Barth?lemy*,,652,,  Southern Africa,913,..,..,..,..,..,..,..
22943,   Saint Barth?lemy*,,652,,  Western Africa,914,..,..,..,..,..,..,..
22944,   Saint Barth?lemy*,,652,, ASIA,935,..,..,..,..,..,..,..
22945,   Saint Barth?lemy*,,652,,  Central Asia,5500,..,..,..,..,..,..,..
22946,   Saint Barth?lemy*,,652,,  Eastern Asia,906,..,..,..,..,..,..,..
22947,   Saint Barth?lemy*,,652,,  South-Eastern Asia,920,..,..,..,..,..,..,..
22948,   Saint Barth?lemy*,,652,,  Southern Asia,5501,..,..,..,..,..,..,..
22949,   Saint Barth?lemy*,,652,,  Western Asia,922,..,..,..,..,..,..,..
22950,   Saint Barth?lemy*,,652,, EUROPE,908,..,..,..,..,..,..,..
22951,   Saint Barth?lemy*,,652,,  Eastern Europe,923,..,..,..,..,..,..,..
22952,   Saint Barth?lemy*,,652,,  Northern Europe,924,..,..,..,..,..,..,..
22953,   Saint Barth?lemy*,,652,,  Southern Europe,925,..,..,..,..,..,..,..
22954,   Saint Barth?lemy*,,652,,  Western Europe,926,..,..,..,..,..,..,..
22955,   Saint Barth?lemy*,,652,, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
22956,   Saint Barth?lemy*,,652,,  Caribbean,915,..,..,..,..,..,..,..
22957,   Saint Barth?lemy*,,652,,  Central America,916,..,..,..,..,..,..,..
22958,   Saint Barth?lemy*,,652,,  South America,931,..,..,..,..,..,..,..
22959,   Saint Barth?lemy*,,652,, NORTHERN AMERICA,905,..,..,..,..,..,..,..
22960,   Saint Barth?lemy*,,652,, OCEANIA ,909,..,..,..,..,..,..,..
22961,   Saint Barth?lemy*,,652,,  Australia and New Zealand,927,..,..,..,..,..,..,..
22962,   Saint Barth?lemy*,,652,,  Melanesia,928,..,..,..,..,..,..,..
22963,   Saint Barth?lemy*,,652,,  Micronesia,954,..,..,..,..,..,..,..
22964,   Saint Barth?lemy*,,652,,  Polynesia*,957,..,..,..,..,..,..,..
22965,   Saint Kitts and Nevis,,659,B R,WORLD,900, 3 210, 4 248, 5 871, 6 682, 7 245, 7 443, 7 725
22966,   Saint Kitts and Nevis,,659,B R,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
22967,   Saint Kitts and Nevis,,659,B R,  Northern Africa and Western Asia,1833,..,..,..,..,..,..,..
22968,   Saint Kitts and Nevis,,659,B R,  Central and Southern Asia,921,..,..,..,..,..,..,..
22969,   Saint Kitts and Nevis,,659,B R,  Eastern and South-Eastern Asia,1832,..,..,..,..,..,..,..
22970,   Saint Kitts and Nevis,,659,B R,  Latin America and the Caribbean,1830, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
22971,   Saint Kitts and Nevis,,659,B R,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
22972,   Saint Kitts and Nevis,,659,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
22973,   Saint Kitts and Nevis,,659,B R,  Europe and Northern America,1829,..,..,..,..,..,..,..
22974,   Saint Kitts and Nevis,,659,B R,  Developed regions,901,..,..,..,..,..,..,..
22975,   Saint Kitts and Nevis,,659,B R,  Less developed regions,902, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
22976,   Saint Kitts and Nevis,,659,B R," Less developed regions, excluding least developed countries",934, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
22977,   Saint Kitts and Nevis,,659,B R," Less developed regions, excluding China",948, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
22978,   Saint Kitts and Nevis,,659,B R,  Least developed countries,941,..,..,..,..,..,..,..
22979,   Saint Kitts and Nevis,,659,B R,  Land-locked Developing Countries (LLDC),1636,..,..,..,..,..,..,..
22980,   Saint Kitts and Nevis,,659,B R,  Small island developing States (SIDS),1637, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
22981,   Saint Kitts and Nevis,,659,B R,  High-income countries,1503,707,937, 1 295, 1 477, 1 600, 1 646, 1 697
22982,   Saint Kitts and Nevis,,659,B R,  Middle-income countries,1517,628,831, 1 150, 1 302, 1 413, 1 445, 1 490
22983,   Saint Kitts and Nevis,,659,B R, Upper-middle-income countries,1502,628,831, 1 150, 1 302, 1 413, 1 445, 1 490
22984,   Saint Kitts and Nevis,,659,B R, Lower-middle-income countries,1501,..,..,..,..,..,..,..
22985,   Saint Kitts and Nevis,,659,B R,  Low-income countries,1500,..,..,..,..,..,..,..
22986,   Saint Kitts and Nevis,,659,B R, AFRICA,903,..,..,..,..,..,..,..
22987,   Saint Kitts and Nevis,,659,B R,  Eastern Africa,910,..,..,..,..,..,..,..
22988,   Saint Kitts and Nevis,,659,B R,  Middle Africa,911,..,..,..,..,..,..,..
22989,   Saint Kitts and Nevis,,659,B R,  Northern Africa,912,..,..,..,..,..,..,..
22990,   Saint Kitts and Nevis,,659,B R,  Southern Africa,913,..,..,..,..,..,..,..
22991,   Saint Kitts and Nevis,,659,B R,  Western Africa,914,..,..,..,..,..,..,..
22992,   Saint Kitts and Nevis,,659,B R, ASIA,935,..,..,..,..,..,..,..
22993,   Saint Kitts and Nevis,,659,B R,  Central Asia,5500,..,..,..,..,..,..,..
22994,   Saint Kitts and Nevis,,659,B R,  Eastern Asia,906,..,..,..,..,..,..,..
22995,   Saint Kitts and Nevis,,659,B R,  South-Eastern Asia,920,..,..,..,..,..,..,..
22996,   Saint Kitts and Nevis,,659,B R,  Southern Asia,5501,..,..,..,..,..,..,..
22997,   Saint Kitts and Nevis,,659,B R,  Western Asia,922,..,..,..,..,..,..,..
22998,   Saint Kitts and Nevis,,659,B R, EUROPE,908,..,..,..,..,..,..,..
22999,   Saint Kitts and Nevis,,659,B R,  Eastern Europe,923,..,..,..,..,..,..,..
23000,   Saint Kitts and Nevis,,659,B R,  Northern Europe,924,..,..,..,..,..,..,..
23001,   Saint Kitts and Nevis,,659,B R,  Southern Europe,925,..,..,..,..,..,..,..
23002,   Saint Kitts and Nevis,,659,B R,  Western Europe,926,..,..,..,..,..,..,..
23003,   Saint Kitts and Nevis,,659,B R, LATIN AMERICA AND THE CARIBBEAN,904, 1 521, 2 014, 2 784, 3 165, 3 431, 3 521, 3 632
23004,   Saint Kitts and Nevis,,659,B R,  Caribbean,915, 1 186, 1 571, 2 172, 2 468, 2 675, 2 744, 2 827
23005,   Saint Kitts and Nevis,,659,B R,  Central America,916,..,..,..,..,..,..,..
23006,   Saint Kitts and Nevis,,659,B R,  South America,931,335,443,612,697,756,777,805
23007,   Saint Kitts and Nevis,,659,B R, NORTHERN AMERICA,905,..,..,..,..,..,..,..
23008,   Saint Kitts and Nevis,,659,B R, OCEANIA ,909,..,..,..,..,..,..,..
23009,   Saint Kitts and Nevis,,659,B R,  Australia and New Zealand,927,..,..,..,..,..,..,..
23010,   Saint Kitts and Nevis,,659,B R,  Melanesia,928,..,..,..,..,..,..,..
23011,   Saint Kitts and Nevis,,659,B R,  Micronesia,954,..,..,..,..,..,..,..
23012,   Saint Kitts and Nevis,,659,B R,  Polynesia*,957,..,..,..,..,..,..,..
23013,   Saint Kitts and Nevis,,659,B R,   Antigua and Barbuda,28,175,231,319,363,393,404,417
23014,   Saint Kitts and Nevis,,659,B R,   Bahamas,44,5,8,11,19,21,24,23
23015,   Saint Kitts and Nevis,,659,B R,   Barbados,52,41,56,79,87,94,96,98
23016,   Saint Kitts and Nevis,,659,B R,   British Virgin Islands*,92,106,140,193,219,237,243,250
23017,   Saint Kitts and Nevis,,659,B R,   Dominica,212,87,115,158,180,195,200,206
23018,   Saint Kitts and Nevis,,659,B R,   Grenada,308,24,34,46,52,56,57,58
23019,   Saint Kitts and Nevis,,659,B R,   Guyana,328,335,443,612,697,756,777,805
23020,   Saint Kitts and Nevis,,659,B R,   Jamaica,388,62,82,116,128,138,141,144
23021,   Saint Kitts and Nevis,,659,B R,   Montserrat*,500,186,246,339,386,418,430,445
23022,   Saint Kitts and Nevis,,659,B R,   Saint Lucia,662,46,60,82,93,102,102,104
23023,   Saint Kitts and Nevis,,659,B R,   Saint Vincent and the Grenadines,670,74,97,136,152,166,168,173
23024,   Saint Kitts and Nevis,,659,B R,   Trinidad and Tobago,780,115,152,210,239,259,266,275
23025,   Saint Kitts and Nevis,,659,B R,   United States Virgin Islands*,850,265,350,483,550,596,613,634
23026,   Saint Kitts and Nevis,,659,B R,Other,2003, 1 689, 2 234, 3 087, 3 517, 3 814, 3 922, 4 093
23027,   Saint Lucia,,662,B R,WORLD,900, 5 305, 7 155, 9 871, 9 839, 9 050, 8 673, 8 338
23028,   Saint Lucia,,662,B R,  Sub-Saharan Africa,947,23,27,41,72,101,94,84
23029,   Saint Lucia,,662,B R,  Northern Africa and Western Asia,1833,16,21,30,90,144,137,130
23030,   Saint Lucia,,662,B R,  Central and Southern Asia,921,57,75,104,173,231,220,214
